"code","name","street_1","street_2","city","postcode","email"
"G85136","WATERLOO HEALTH CENTRE","5 LOWER MARSH","WATERLOO","LONDON","SE1 7RJ","lam-pct.waterloohealthcentre-EHS@nhs.net"
"G85135","THE IVEAGH HOUSE SURGERY","IVEAGH HOUSE","LOUGHBOROUGH ROAD","LONDON","SW9 7SE","iveaghhouseedt@nhs.net"
"G85134","LISTER PRIMARY CARE CTRE","101 PECKHAM ROAD","","LONDON","SE15 5LJ","docman.draru@nhs.net"
"G85133","TULSE HILL PRACTICE","4 HARDEL RISE","TULSE HILL","LONDON","SW2 3DX","Tulsehill.docman@nhs.net"
"G85132","MELBOURNE GROVE MED. PRAC","MELBOURNE GROVE","EAST DULWICH","LONDON","SE22 8QN","docman.melbournegrovesurgery@nhs.net"
"G85130","SUITE G.25","MAWBEY BOROUGH HEALTH CTR","39 WILCOX CLOSE","LONDON","SW8 2UD","mawbeygp.edt@nhs.net"
"G85128","THE WALWORTH CLINIC","TOWN HALL","LARCOM STREET","LONDON","SE17 1RY",NULL
"G85126","THE CLAPHAM PARK SURGERY","72 CLARENCE AVENUE","STREATHAM","LONDON","SW4 8JP",NULL
"G85124","24 BELLINGHAM GREEN","","CATFORD","LONDON","SE6 3JB","lew-pct.g85124-general@nhs.net"
"G85123","BINFIELD ROAD SURGERY","1 BINFIELD ROAD","KENNINGTON","LONDON","SW4 6TB","edtdocman.binfieldroad@nhs.net"
"G85121","PARKVIEW SURGERY","186 BROWNHILL ROAD","CATFORD","LONDON","SE6 1AT","docman.parkviewsurgery@nhs.net"
"G85120","TRIANGLE GROUP PRACTICE","2 MORLEY ROAD","EAST LEWISHAM","LONDON","SE13 6DQ","lew-pct.g85120-general@nhs.net"
"G85119","STERNHALL LANE SURGERY","12 STERNHALL LANE","PECKHAM","LONDON","SE15 4NT","sternhalllanesurgery@nhs.net"
"G85118","STREATHAM PLACE SURGERY","28 STREATHAM PLACE","","LONDON","SW2 4QY","lam-pct.streathamplace-EHS@nhs.net"
"G85114","WELLS PARK PRACTICE","1 WELLS PARK ROAD","SYDENHAM","LONDON","SE26 6JQ","lew-pct.g85114-general@nhs.net"
"G85113","THE NORWOOD SURGERY","483 NORWOOD ROAD","WEST NORWOOD","LONDON","SE27 9DJ","lam-pct.norwoodsurgery-EHS@nhs.net"
"G85112","THE HAMBLEDEN CLINIC","BLANCHEDOWNE","DENMARK HILL","LONDON","SE5 8HL","docman.hambledenclinic@nhs.net"
"G85111","EDITH CAVELL II PRACTICE","THE STREATHAM HILL PC CTR","41A-C STREATHAM HILL","LONDON","SW2 4TP",NULL
"G85109","72 CLARENCE AVENUE","","","LONDON","SW4 8JP","docman.claphampark@nhs.net"
"G85106","BOROUGH MEDICAL CENTRE","LORNAMEAD HOUSE","1-5 NEWINGTON CAUSEWAY","LONDON","SE1 6ED","drmisras.practice@nhs.net"
"G85104","32 CHINBROOK ROAD","GROVE PARK","EAST LEWISHAM","LONDON","SE12 9TH","docman.g85104@nhs.net"
"G85102","THE SURGERY","8 JONATHAN STREET","KENNINGTON","LONDON","SE11 5NH","lam-pct.vauxhallsurgery@nhs.net"
"G85097","THE GRANGE ROAD PRACTICE","BERMONDSEY HEALTH CENTRE","108 GRANGE ROAD","LONDON","SE1 3BW",NULL
"G85096","THE SURGERY","106 GREYHOUND LANE","STREATHAM","LONDON","SW16 5RW","lam-pct.vale-surgery@nhs.net"
"G85094","BERMONDSEY AND LANSDOWNE","MEDICAL MISSION","THE SURGERY,DECIMA STREET","LONDON","SE1 4QX","blm2@nhs.net"
"G85091","3-ZERO-6 MEDICAL CENTRE","306 LORDSHIP LANE","","LONDON","SE22 8LY","docman.lordshiplane306@nhs.net"
"G85089","HONOR OAK HEALTH CENTRE","20 TURNHAM ROAD","BROCKLEY","LONDON","SE4 2LA","lew-pct.g85089-general@nhs.net"
"G85088","WATER LANE SURGERY","48 BRIXTON WATER LANE","BRIXTON","LONDON","SW2 1QE","docman.g85088@nhs.net"
"G85086","THE SOUTH LAMBETH RD PRAC","1 SELWAY HOUSE","272 SOUTH LAMBETH ROAD","LONDON","SW8 1UL","lam-pct.southlambethroad@nhs.net"
"G85083","THE SANDMERE ROAD PRACT","10-14 SANDMERE ROAD","CLAPHAM","LONDON","SW4 7QJ","edtdocman.sandmereroad@nhs.net"
"G85081","SYDENHAM SURGERY","2 SYDENHAM ROAD","SYDENHAM","LONDON","SE26 5QW","lew-pct.g85081-general@nhs.net"
"G85056","THE JENNER HEALTH CENTRE","201 STANSTEAD ROAD","WEST LEWISHAM","LONDON","SE23 1HU",NULL
"G85055","HILLY FIELDS MEDICAL CTR.","172 ADELAIDE AVENUE","BROCKLEY","LONDON","SE4 1JN","EDT.G85055@nhs.net"
"G85054","LAMBETH ROAD GROUP PRAC.","80 KENNINGTON ROAD","KENNINGTON","LONDON","SE11 6SP","lambethwalkgp@nhs.net"
"G85052","OLD KENT ROAD SURGERY","182-184 OLD KENT ROAD","","LONDON","SE1 5TY","sou-pct.oldkentroadsurgery@nhs.net"
"G85051","ELM LODGE SURGERY","2 BURBAGE ROAD","DULWICH","LONDON","SE24 9HJ","elmlodge.surgery@nhs.net"
"G85048","THE BROCKLEY ROAD SURGERY","465-467 BROCKLEY ROAD","BROCKLEY","LONDON","SE4 2PJ","lew-pct.g85048-general@nhs.net"
"G85047","KNIGHTS HILL SURGERY","130 KNIGHTS HILL","NORWOOD","LONDON","SE27 0ST","lamccg.knightshill@nhs.net"
"G85046","THE SURGERY, 20 LEE ROAD","BLACKHEATH","EAST LEWISHAM","LONDON","SE3 9RT",NULL
"G85044","VALLEY ROAD SURGERY","139 VALLEY ROAD","STREATHAM","LONDON","SW16 2XT","valleyroad@nhs.net"
"G85042","ST.GILES SURGERY","40 ST.GILES ROAD","CAMBERWELL","LONDON","SE5 7RF","docman.drvirji@nhs.net"
"G85041","PALACE ROAD SURGERY","3 PALACE ROAD","STREATHAM HILL","LONDON","SW2 3DY","lam-pct.palaceroad@nhs.net"
"G85036","BARING ROAD MEDICAL CTR","282 BARING ROAD","GROVE PARK","LONDON","SE12 0DS","docman.baring.rd@nhs.net"
"G85035","MORDEN HILL SURGERY","21 MORDEN HILL","LEWISHAM","LONDON","SE13 7NN","lew-pct.g85035-general@nhs.net"
"G85034","PRINCESS STREET GP PRACT.","2 PRINCESS STREET","ELEPHANT AND CASTLE","LONDON","SE1 6JP","admin.psgp@nhs.net"
"G85030","PARKSIDE MEDICAL CENTRE","52 CAMBERWELL GREEN","CAMBERWELL","LONDON","SE5 7AQ","sou-pct.ParksideMC@nhs.net"
"G85029","FALMOUTH ROAD GROUP PRACT","78 FALMOUTH ROAD","BOROUGH","LONDON","SE1 4JW","falmouthroad@nhs.net"
"G85027","LEE HEALTH CENTRE","2 HANDEN ROAD","LEE","LONDON","SE12 8NP","lew-pct.g85027-general@nhs.net"
"G85026","LEE HEALTH CENTRE","2 HANDEN ROAD","LEE","LONDON","SE12 8NP","lew-pct.g85026-general@nhs.net"
"G85025","22 RALEIGH GARDENS","","","LONDON","SW2 1AE","docman.g85025@nhs.net"
"G85021","THE SURGERY","2 PRENTIS ROAD","STREATHAM","LONDON","SW16 1XU","lamccg.drmastertonssurgery@nhs.net"
"G85020","4 KINGFISHER SQUARE","DEPTFORD","NEW CROSS","LONDON","SE8 5TW","lew-pct.g85020-general@nhs.net"
"G85016","HERNE HILL GROUP PRACTICE","74 HERNE HILL","EAST BRIXTON","LONDON","SE24 9QP","hernehillgp@nhs.net"
"G85015","THE QUEENS ROAD P/SHIP","387 QUEENS ROAD","NEW CROSS GATE","LONDON","SE14 5HD","docman.thequeensroadpartnership@nhs.net"
"G85012","AYLESBURY HEALTH CENTRE","TAPLOW","THURLOW STREET","LONDON","SE17 2XE","aylesburypartnership@nhs.net"
"G85011","THE CLAPHAM FAMILY PRAC.","51 CLAPHAM HIGH STREET","CLAPHAM","LONDON","SW4 7TL","lam-pct.claphamfamily-EHS@nhs.net"
"G85010","THE MANOR HEALTH CENTRE","86 CLAPHAM MANOR STREET","CLAPHAM","LONDON","SW4 6EB","lam-pct.drsantamaria-EHS@nhs.net"
"G85008","MORNINGTON SURGERY","433 NEW CROSS ROAD","NEW CROSS","LONDON","SE14 6TD",NULL
"G85006","ACORN SURGERY","136 MEETING HOUSE LANE","PECKHAM","LONDON","SE15 2UA","acorn.surgery@nhs.net"
"G85005","STH LEWISHAM GRP PRACTICE","50 CONISBOROUGH CRESCENT","CATFORD","LONDON","SE6 2SP","docman.southlewishamgrouppractice@nhs.net"
"G85004","JENNER HEALTH CENTRE","201 STANSTEAD ROAD","FOREST HILL","LONDON","SE23 1HU","docman.edt-g85004@nhs.net"
"G85003","THE SURGERY","36 BELMONT HILL","LEWISHAM","LONDON","SE13 5AY","lew-pct.g85003-general@nhs.net"
"G85002","STREATHAM HIGH PRACTICE","1-4 THE HIGH PARADE","LEIGHAM AVENUE","LONDON","SW16 1EX","lamccg.shs@nhs.net"
"G85001","THE FOREST HILL GRP PRACT","1 FOREST HILL ROAD","HONOR OAK, DULWICH","LONDON","SE22 0SQ","docman.fhgp@nhs.net"
"G84625","OAKFIELD SURGERY","21 HIGH STREET","PENGE","LONDON","SE20 7SF",NULL
"G84025","THE PARK GROUP PRACTICE","113 ANERLEY ROAD","ANERLEY","LONDON","SE20 8AJ",NULL
"G83680","THE COURT YARD SURGERY","28 THE COURT YARD","ELTHAM","LONDON","SE9 5QA",NULL
"G83675","ANGLESEA MEDICAL CENTRE","1 ANGLESEA MEWS","WOOLWICH","LONDON","SE18 6ER",NULL
"G83674","115 TUDWAY ROAD","FERRIER ESTATE","KIDBROOKE","LONDON","SE3 9YX",NULL
"G83667","PARKSIDE SURGERY","35 ELTHAM GREEN ROAD","ELTHAM","LONDON","SE9 6BA",NULL
"G83658","DOCTORS SURGERY","7 LEWISHAM ROAD","","LONDON","SE13 7QS",NULL
"G83657","CORELLI SURGERY","374 SHOOTERS HILL ROAD","","LONDON","SE18 4LS",NULL
"G83654","20-22 BANNOCKBURN ROAD","PLUMSTEAD","","LONDON","SE18 1ES",NULL
"G83635","THE WAVERLEY PRACTICE","37 WAVERLEY CRESCENT","PLUMSTEAD","LONDON","SE18 7QU",NULL
"G83633","CONWAY MEDICAL CENTRE","44 CONWAY ROAD","PLUMSTEAD","LONDON","SE18 1AH",NULL
"G83631","111 BASILDON ROAD","","ABBEY WOOD","LONDON","SE2 0ER",NULL
"G83069","MILLENIUM VILLAGE HTH CTR","SCHOOL BANK ROAD","GREENWICH","LONDON","SE10 0QN",NULL
"G83068","30-31 TELEMANN SQUARE","FERRIER ESTATE","KIDBROOKE","LONDON","SE3 9YR",NULL
"G83058","SOUTH ST MEDICAL CENTRE","71A GREENWICH SOUTH ST","GREENWICH","LONDON","SE10 8NT",NULL
"G83050","APURBA HOUSE SURGERY","154A SHOOTERS HILL ROAD","BLACKHEATH","LONDON","SE3 8RP",NULL
"G83039","ST.MARKS MEDICAL CENTRE","24 WROTTESLEY ROAD","PLUMSTEAD","LONDON","SE18 3EP",NULL
"G83031","ABBEY WOOD SURGERY","9 GODSTOW  ROAD","ABBEY WOOD","LONDON","SE2 9AT",NULL
"G83027","SHERARD ROAD MEDICAL CTR.","71 SHERARD ROAD","ELTHAM","LONDON","SE9 6ER",NULL
"G83017","115 TUDWAY ROAD","FERRIER ESTATE","KIDBROOKE","LONDON","SE3 9YX",NULL
"G83015","ELTHAM PALACE SURGERY","28 THE COURTYARD","ELTHAM","LONDON","SE9 5QA",NULL
"G83001","MANOR BROOK MEDICAL CTR.","117 BROOK LANE","BLACKHEATH","LONDON","SE3 0EN",NULL
"F86722","HURST ROAD HEALTH CENTRE","HURST ROAD","WALTHAMSTOW","LONDON","E17 3BL",NULL
"F86719","HURST ROAD HEALTH CENTRE","HURST ROAD","WALTHAMSTOW","LONDON","E17 3BL",NULL
"F86712","HAMPTON MEDICAL CENTRE","1 PRETORIA ROAD","LEYTONSTONE","LONDON","E11 4BB",NULL
"F86711","SOUTH WOODFORD HEALTH CTR","114 HIGH ROAD","SOUTH WOODFORD","LONDON","E18 2QS",NULL
"F86705","LANGTHORNE HEALTH CENTRE","13 LANGTHORNE ROAD","LEYTONSTONE","LONDON","E11 4HX",NULL
"F86701","LANGTHORNE HEALTH CENTRE","13 LANGTHORNE ROAD","LEYTONSTONE","LONDON","E11 4HX",NULL
"F86700","KINGS HEAD MEDICAL PRACT","178 KINGS HEAD HILL","CHINGFORD","LONDON","E4 7NX",NULL
"F86697","ST.JAMES' HEALTH CENTRE","ST.JAMES' STREET","WALTHAMSTOW","LONDON","E17 7NH",NULL
"F86679","258-260 HIGHAM HILL ROAD","","WALTHAMSTOW","LONDON","E17 5RQ",NULL
"F86671","THE SURGERY","12B SINNOTT ROAD","WALTHAMSTOW","LONDON","E17 5QB",NULL
"F86666","HARROW ROAD SURGERY","108-110 HARROW ROAD","LEYTONSTONE","LONDON","E11 3QE",NULL
"F86664","LARKSHALL MEDICAL CENTRE","1 LARKSHALL ROAD","CHINGFORD","LONDON","E4 7HS",NULL
"F86658","SOUTH WOODFORD HEALTH CTR","114 HIGH ROAD","SOUTH WOODFORD","LONDON","E18 2QS",NULL
"F86644","FOREST ROAD MEDICAL CTR","354-358 FOREST ROAD","WALTHAMSTOW","LONDON","E17 5JG",NULL
"F86641","THE SHRUBBERIES MED CTR","12 THE SHRUBBERIES","SOUTH WOODFORD","LONDON","E18 1BD",NULL
"F86640","COMELY BANK CLINIC","46 RAVENSWOOD ROAD","WALTHAMSTOW","LONDON","E17 9LY",NULL
"F86639","THATCHED HOUSE MED CTRE","136 HIGH ROAD","LEYTONSTONE","LONDON","E15 1UA",NULL
"F86638","107-109 CHINGFORD MOUNT","ROAD","CHINGFORD","LONDON","E4 8LT",NULL
"F86627","CHURCHILL MEDICAL CENTRE","1 CHURCHILL TERRACE","CHINGFORD","LONDON","E4 8DG",NULL
"F86626","FOREST ROAD MEDICAL CTRE","354-358 FOREST ROAD","WALTHAMSTOW","LONDON","E17 5JG",NULL
"F86621","GREEN MAN MEDICAL CENTRE","1 HANBURY DRIVE","LEYTONSTONE","LONDON","E11 1GA",NULL
"F86616","THE OLDCHURCH SURGERY","99 CHINGFORD AVENUE","CHINGFORD","LONDON","E4 6RG",NULL
"F86607","COMELY BANK CLINIC","46 RAVENSWOOD ROAD","WALTHAMSTOW","LONDON","E17 9LY",NULL
"F86602","FOREST ROAD MEDICAL CTR","354-358 FOREST ROAD","WALTHAMSTOW","LONDON","E17 5JG",NULL
"F86086","WOOD STREET HEALTH CENTRE","6 LINFORD RD-OFF WOOD ST","WALTHAMSTOW","LONDON","E17 3LA",NULL
"F86078","THE RIDGEWAY SURGERY","1 MOUNT ECHO AVENUE","CHINGFORD","LONDON","E4 7JX",NULL
"F86075","THE ALPHA PRACTICE","CHINGFORD HEALTH CENTRE","109 YORK ROAD, CHINGFORD","LONDON","E4 8LF",NULL
"F86074","4TH FL OLIVER RD MED CTR","75 OLIVER ROAD","LEYTON","LONDON","E10 5LG",NULL
"F86067","CHINGFORD HEALTH CENTRE","109 YORK ROAD","CHINGFORD","LONDON","E4 8LF",NULL
"F86064","SOUTH WOODFORD HEALTH CTR","114 HIGH ROAD","SOUTH WOODFORD","LONDON","E18 2QS",NULL
"F86062","GROVE SURGERY","103-105 GROVE ROAD","WALTHAMSTOW","LONDON","E17 9BU",NULL
"F86053","THE SHIELING","24 SPRATT HALL ROAD","WANSTEAD","LONDON","E11 2RQ",NULL
"F86036","THE ALLUM MEDICAL CENTRE","FAIRLOP ROAD","LEYTONSTONE","LONDON","E11 1BN",NULL
"F86032","45 WANSTEAD PLACE","WANSTEAD HIGH STREET","WANSTEAD","LONDON","E11 2SW",NULL
"F86026","CENTRAL SURGERY","2 MACDONALD ROAD","WALTHAMSTOW","LONDON","E17 4BA",NULL
"F86023","THE EVERGREEN SURGERY","26 HIGH STREET","WANSTEAD","LONDON","E11 2AQ",NULL
"F86020","2 GLEBELANDS AVENUE","SOUTH WOODFORD","","LONDON","E18 2AB",NULL
"F86016","FOREST ROAD MEDICAL CTR","354-358 FOREST ROAD","WALTHAMSTOW","LONDON","E17 5JG",NULL
"F86015","CENTRAL SURGERY","8 CORBETT ROAD","WALTHAMSTOW","LONDON","E17 3JZ",NULL
"F86011","THE MANOR PRACTICE","454 LEA BRIDGE ROAD","LEYTON","LONDON","E10 7DY",NULL
"F86005","PENRHYN SURGERY","2A PENRHYN AVENUE","WALTHAMSTOW","LONDON","E17 5DB",NULL
"F86004","THE HEALTH CENTRE","HANDSWORTH AVENUE","HIGHAMS PARK","LONDON","E4 9PD",NULL
"F86001","ST.JAMES' HEALTH CENTRE","ST.JAMES' STREET","WALTHAMSTOW","LONDON","E17 7NH",NULL
"F85706","FOREST PRIMARY CARE CTR","308A HERTFORD ROAD","EDMONTON","LONDON","N9 7HD",NULL
"F85702","STUART CRESCENT HLTH.CTR.","8 STUART CRESCENT","WOOD GREEN","LONDON","N22 5NJ",NULL
"F85701","GILLAN HOUSE SURGERY","457 GREEN LANES","PALMERS GREEN","LONDON","N13 4BS",NULL
"F85699","BROADWATER FARM HTH. CTR.","2A WILLAN ROAD","TOTTENHAM","LONDON","N17 6BF",NULL
"F85698","THE GREEN PRACTICE","FOREST ROAD HEALTH CENTRE","2A FOREST ROAD,EDMONTON","LONDON","N9 8RZ",NULL
"F85697","572 GREEN LANES","HORNSEY","","LONDON","N8 0RP",NULL
"F85688","RUTLAND HOUSE SURGERY","40 COLNEY HATCH LANE","MUSWELL HILL","LONDON","N10 1DX",NULL
"F85687","OAKWOOD MEDICAL CENTRE","MALCOLMS WAY","RESERVOIR ROAD, SOUTHGATE","LONDON","N14 4AQ",NULL
"F85685","THE SURGERY","939 GREEN LANES","WINCHMORE HILL","LONDON","N21 2PB",NULL
"F85680","157 STROUD GREEN ROAD","FINSBURY PARK","","LONDON","N4 3PZ",NULL
"F85679","ALLENSON HOUSE MED CENTRE","WESTON PARK","CROUCH END","LONDON","N8 9TB",NULL
"F85676","FOREST PRIMARY CARE CTR","308A HERTFORD ROAD","EDMONTON","LONDON","N9 7HD",NULL
"F85675","THE ALEXANDRA SURGERY","125 ALEXANDRA PARK ROAD","WOOD GREEN","LONDON","N22 7UN",NULL
"F85658","THE SURGERY","23 GROSVENOR ROAD","MUSWELL HILL","LONDON","N10 2DR",NULL
"F85655","THE SURGERY","2 WILLOUGHBY ROAD","","LONDON","N8 0HR",NULL
"F85650","MORECAMBE SURGERY","1 MORECAMBE TERRACE","UPPER EDMONTON","LONDON","N18 1LA",NULL
"F85638","THE PALM MEDICAL CENTRE","ULSTER GARDENS","PALMERS GREEN","LONDON","N13 5DP",NULL
"F85616","THE SURGERY","102 MUSWELL HILL ROAD","MUSWELL HILL","LONDON","N10 3JR",NULL
"F85068","ST.ANN'S MEDICAL CENTRE","198 ST.ANN'S ROAD","TOTTENHAM","LONDON","N15 5RP",NULL
"F85066","BOUNDS GREEN GROUP PRACT","GORDON RD,BOUNDS GREEN","NEW SOUTHGATE","LONDON","N11 2PF",NULL
"F85065","STUART CRESCENT HLTH CTRE","STUART CRESCENT","WOOD GREEN","LONDON","N22 5NJ",NULL
"F85063","DUKES AVENUE PRACTICE","1 DUKES AVENUE","MUSWELL HILL","LONDON","N10 2PS",NULL
"F85058","NIGHTINGALE HOUSE SURGERY","1 NIGHTINGALE ROAD","EDMONTON","LONDON","N9 8AJ",NULL
"F85055","CONNAUGHT SURGERY","144 HEDGE LANE","PALMERS GREEN","LONDON","N13 5ST",NULL
"F85052","THE SURGERY","1 SPUR ROAD","TOTTENHAM","LONDON","N15 4AA",NULL
"F85044","FOREST PRIMARY CARE CTR","308A HERTFORD ROAD","EDMONTON","LONDON","N9 7HD",NULL
"F85040","STUART CRESCENT HTH.CTR.","STUART CRESCENT","WOOD GREEN","LONDON","N22 5NJ",NULL
"F85033","THE SURGERY","939 GREEN LANES","WINCHMORE HILL","LONDON","N21 2PB",NULL
"F85031","THE SURGERY","205 WESTBURY AVENUE","WOOD GREEN","LONDON","N22 6RX",NULL
"F85030","FINBAR HOUSE","794 HIGH ROAD","TOTTENHAM","LONDON","N17 0DH",NULL
"F85028","THE SURGERY","461-463 HIGH ROAD","TOTTENHAM","LONDON","N17 6QB",NULL
"F85020","THE WOODBERRY PRACTICE","1 WOODBERRY AVENUE","WINCHMORE HILL","LONDON","N21 3LE",NULL
"F85015","DOVER HOUSE SURGERY","28 BOLTON ROAD","EDMONTON","LONDON","N18 1HR",NULL
"F85013","TYNEMOUTH MED PRACTICE","TYNEMOUTH ROAD","TOTTENHAM","LONDON","N15 4RH",NULL
"F85008","MORUM HOUSE MEDICAL CTR","3-5 BOUNDS GREEN ROAD","WOOD GREEN","LONDON","N22 8HE",NULL
"F85007","LAWRENCE HOUSE SURGERY","107 PHILIP LANE","TOTTENHAM","LONDON","N15 4JR",NULL
"F85002","FOREST PRIMARY CARE CTR","308A HERTFORD ROAD","EDMONTON","LONDON","N9 7HD",NULL
"F84750","APPLEBY CENTRE","63 APPLEBY ROAD","CANNING TOWN","LONDON","E16 1LQ",NULL
"F84749","CARPENTERS COMMUNITY CTRE","17 DORAN WALK","STRATFORD","LONDON","E15 2JL",NULL
"F84746","ALDGATE MEDICAL CENTRE","384-398 COMMERCIAL ROAD","","LONDON","E1 0LR",NULL
"F84745","STUDENT HEALTH CENTRE","20 SEBASTIAN STREET","","LONDON","EC1V 0HE",NULL
"F84742","EAST HAM MEMORIAL BLDG","SHREWSBURY ROAD","FOREST GATE","LONDON","E7 8QR",NULL
"F84741","EAST HAM MEMORIAL HPL","SHREWSBURY ROAD","FOREST GATE","LONDON","E7 8QR",NULL
"F84740","NEWHAM TRANSITIONAL PRAC","30 CHURCH ROAD","MANOR PARK","LONDON","E12 6AQ",NULL
"F84737","C/O WALK IN CENTRE","NEWHAM GEN HPL,GLEN ROAD","PLAISTOW","LONDON","E13 8SL",NULL
"F84735","BOLEYN MEDICAL CENTRE","152 BARKING ROAD","EAST HAM","LONDON","E6 3BD",NULL
"F84730","VICARAGE LANE HEALTH CTR","10 VICARAGE LANE","STRATFORD","LONDON","E15 4ES",NULL
"F84724","WOODGRANGE MED PRACTICE","40 WOODGRANGE ROAD","FOREST GATE","LONDON","E7 0QH",NULL
"F84718","THE BLITHEHALE MED.CTR.","3 JERSEY STREET","BETHNAL GREEN","LONDON","E2 0AW",NULL
"F84717","ROYAL DOCKS MEDICAL CTRE","19 EAST HAM MANOR WAY","BECKTON","LONDON","E6 5NA",NULL
"F84714","ST.PAUL'S WAY MEDICAL CTR","99 ST.PAUL'S WAY","BOW","LONDON","E3 4AJ",NULL
"F84713","EAST HAM MEDICAL CENTRE","1 CLEMENTS ROAD","EAST HAM","LONDON","E6 2DS",NULL
"F84710","ISLAND HEALTH","145 EAST FERRY ROAD","ISLE OF DOGS","LONDON","E14 3BQ",NULL
"F84708","343 PRINCE REGENT LANE","","","LONDON","E16 3JL",NULL
"F84707","ST.LUKES HEALTH CENTRE","2 ST.LUKES SQUARE","CANNING TOWN","LONDON","E16 1HT",NULL
"F84706","LORD LISTER HEALTH CENTRE","121 WOODGRANGE ROAD","FOREST GATE","LONDON","E7 0EP",NULL
"F84700","VICARAGE LANE HEALTH CTR","10 VICARAGE LANE","STRATFORD","LONDON","E15 4ES",NULL
"F84674","LONDON GUILDHALL UNIV.","HEALTH CENTRE","CALCUTTA HOUSE","LONDON","E1 7NT",NULL
"F84671","KATHERINE ROAD MEDICAL CENTRE","511 KATHERINE ROAD","","LONDON","E7 8DR",NULL
"F84670","WESTBURY ROAD MED.PRACT.","45 WESTBURY ROAD","FOREST GATE","LONDON","E7 8BU",NULL
"F84666","ST.LUKES HEALTH CENTRE","2 ST.LUKES SQUARE","CANNING TOWN","LONDON","E16 1HT",NULL
"F84662","APPLEBY HEALTH CENTRE","63 APPLEBY ROAD","CANNING TOWN","LONDON","E16 1LQ",NULL
"F84656","DOCKLANDS MEDICAL CENTRE","100 SPINDRIFT AVENUE","ISLE OF DOGS","LONDON","E14 9WU",NULL
"F84641","BIRCHDALE ROAD MED CENTRE","2 BIRCHDALE ROAD","FOREST GATE","LONDON","E7 8AR",NULL
"F84636","6 BARRETTS GROVE","","STOKE NEWINGTON","LONDON","N16 8AR",NULL
"F84631","LORD LISTER HEALTH CENTRE","121 WOODGRANGE ROAD","FOREST GATE","LONDON","E7 0EP",NULL
"F84629","2 DENBURY HOUSE","TALWIN STREET","BOW","LONDON","E3 3JB",NULL
"F84624","ABNEY HOUSE MED CENTRE","2 DEFOE ROAD","STOKE NEWINGTON","LONDON","N16 0EP",NULL
"F84621","THE MEDICAL CENTRE","1A MADINAH ROAD","","LONDON","E8 1PG",NULL
"F84601","ELSDALE STREET SURGERY","28 ELSDALE STREET","HACKNEY","LONDON","E9 6QY",NULL
"F84124","COMMUNITY SURGERY","10 LETTSOM WALK","PLAISTOW","LONDON","E13 0LN",NULL
"F84115","THE STATHAM GROVE SURGERY","STATHAM GROVE","STOKE NEWINGTON","LONDON","N16 9DP",NULL
"F84111","ABBEY ROAD HEALTH CENTRE","28A ABBEY ROAD","STRATFORD","LONDON","E15 3LT",NULL
"F84107","BETHNAL GREEN HEALTH CENTRE","60 FLORIDA STREET","","LONDON","E2 6LL",NULL
"F84096","THE LAWSON PRACTICE","ST.LEONARDS","85 NUTTALL STREET","LONDON","N1 5HZ",NULL
"F84093","TOLLGATE MEDICAL CENTRE","220 TOLLGATE ROAD","","LONDON","E6 5JS",NULL
"F84092","GLEN ROAD MEDICAL CENTRE","1-9 GLEN ROAD","PLAISTOW","LONDON","E13 8RU",NULL
"F84088","152 PLASHET ROAD","","UPTON PARK","LONDON","E13 0QT",NULL
"F84087","STEPNEY HEALTH CENTRE","79 BEN JONSON ROAD","STEPNEY","LONDON","E1 4SA",NULL
"F84086","LORD LISTER HEALTH CENTRE","121 WOODGRANGE ROAD","FOREST GATE","LONDON","E7 0EP",NULL
"F84067","1-3 BIRCHDOWN HOUSE","DEVONS ROAD","BOW","LONDON","E3 3NS",NULL
"F84060","ATHENA MEDICAL CENTRE","21 ATHERDEN ROAD","CLAPTON","LONDON","E5 0QP",NULL
"F84054","GILL STREET HEALTH CENTRE","11 GILL STREET","POPLAR","LONDON","E14 8HQ",NULL
"F84053","GREENGATE MEDICAL CENTRE","497 BARKING ROAD","PLAISTOW","LONDON","E13 8PS",NULL
"F84052","ESSEX LODGE","94 GREENGATE STREET","PLAISTOW","LONDON","E13 0AS",NULL
"F84034","ST.STEPHENS MEDICAL CTR.","BOWS COMMUNITY HALL","WILLIAMS PLACE","LONDON","E3 5ED",NULL
"F84033","SOMERFORD GROVE HLTH.CTR.","SOMERFORD GROVE","STOKE NEWINGTON","LONDON","N16 7TX",NULL
"F84029","STAMFORD HILL SURGERY","19-21 OLDHILL STREET","STAMFORD HILL","LONDON","N16 6LD",NULL
"F84021","LONDON FIELDS MEDICAL CTR","38-44 BROADWAY MARKET","HACKNEY","LONDON","E8 4QJ",NULL
"F84018","NIGHTINGALE PRACTICE","10 KENNINGHALL ROAD","CLAPTON","LONDON","E5 8BY",NULL
"F84017","STAR LANE MEDICAL CENTRE","121 STAR LANE","CANNING TOWN","LONDON","E16 4QH",NULL
"F84014","UPTON LANE MEDICAL CENTRE","75-77 UPTON LANE","FOREST GATE","LONDON","E7 9PB",NULL
"F84013","STAMFORD HILL GROUP PRACT","2 EGERTON ROAD","STAMFORD HILL","LONDON","N16 6UA",NULL
"F84012","ALBION HEALTH CENTRE","333 WHITECHAPEL ROAD","WHITECHAPEL","LONDON","E1 1BU",NULL
"F84010","ST.BARTHOLOMEW'S SURGERY","292A BARKING ROAD","EAST HAM","LONDON","E6 3BA",NULL
